Date,Time,Pump,Loop,SV_01,SV_02,SV_03,SV_04,SV_05,SV_06,SV_07,SV_08,SV_09,Flow SP (GPM),Flow Rate (GPM),C_Valve %Open,DPT_01 (PSI),DPT_02 (PSI),DPT_03 (PSI),DPT_04 (PSI),DPT_05 (PSI),DPT_06 (PSI),DPT_07 (PSI),DPT_08 (PSI),DPT_09 (PSI),DPT_10 (PSI),DPT_11 (PSI),GPT_01 (PSI),GPT_02 (PSI),GPT_03 (PSI)
9/22/2023,10:16:54 AM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.74,11.57,0.05,0.05,0.05,0.03,0.4,0.05,0.03,0.04,0.02,0.04,0.04,2.5,64.88,-0.41
9/11/2023,4:53:11 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.9,9.28,0.03,0.02,0.02,0.01,0.09,0.11,0.38,0.43,0.06,0.63,0.71,0.02,64.48,-0.45
9/11/2023,4:53:16 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.96,9.38,0.03,0.02,0.02,0.02,0.09,0.1,0.38,0.44,0.07,0.63,0.7,0.02,64.53,-0.42
9/11/2023,4:53:21 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,15.06,8.66,0.03,0.02,0.02,0.02,0.09,0.11,0.37,0.44,0.07,0.64,0.7,0.01,64.53,-0.44
9/11/2023,4:53:26 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.9,9.44,0.03,0.02,0.02,0.01,0.08,0.1,0.37,0.43,0.06,0.63,0.69,0.01,64.54,-0.42
9/11/2023,4:53:31 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.6,10.11,0.03,0.02,0.02,0.01,0.08,0.09,0.36,0.41,0.06,0.63,0.69,0.01,64.64,-0.41
9/11/2023,4:53:36 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.94,8.99,0.03,0.03,0.02,0.01,0.08,0.1,0.36,0.41,0.06,0.63,0.68,0,64.65,-0.38
9/11/2023,4:53:41 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.78,9.68,0.03,0.02,0.02,0.02,0.1,0.1,0.34,0.41,0.06,0.64,0.68,0,64.67,-0.37
9/11/2023,4:53:46 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,15.98,6.46,0.03,0.02,0.02,0.01,0.09,0.1,0.35,0.4,0.06,0.64,0.69,0,64.72,-0.4
9/11/2023,4:53:51 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.86,9.31,0.03,0.02,0.02,0.01,0.09,0.1,0.34,0.41,0.06,0.63,0.68,0,64.66,-0.37
9/11/2023,4:53:56 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.43,11.02,0.04,0.04,0.03,0.02,0.1,0.09,0.33,0.39,0.06,0.64,0.69,0,64.67,-0.42
9/11/2023,4:54:01 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.94,11.46,0.04,0.04,0.03,0.02,0.17,0.07,0.25,0.3,0.05,0.55,0.6,0.74,64.71,-0.42
9/11/2023,4:54:06 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.73,11.9,0.04,0.04,0.04,0.02,0.21,0.06,0.19,0.23,0.04,0.41,0.45,1.48,64.74,-0.38
9/11/2023,4:54:11 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,16.11,8.11,0.05,0.05,0.05,0.03,0.25,0.05,0.15,0.17,0.03,0.31,0.34,2,64.7,-0.36
9/11/2023,4:54:16 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,16.13,7.84,0.04,0.05,0.04,0.03,0.27,0.05,0.12,0.14,0.03,0.23,0.26,2.41,64.75,-0.39
9/11/2023,4:54:21 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.93,11.18,0.04,0.04,0.04,0.03,0.3,0.04,0.1,0.11,0.03,0.18,0.2,2.71,64.77,-0.39
9/11/2023,4:54:26 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.96,11.22,0.04,0.04,0.03,0.03,0.28,0.04,0.08,0.09,0.03,0.13,0.16,2.92,64.77,-0.36
9/11/2023,4:54:31 PM,ON,Venturi Loop,CLOSED,CLOSED,CLOSED,OPEN,CLOSED,CLOSED,OPEN,OPEN,CLOSED,15,14.93,11.39,0.04,0.04,0.03,0.03,0.3,0.03,0.07,0.07,0.03,0.11,0.13,3.07,64.78,-0.36
